대분류코드,중분류코드,소분류코드,직무코드,직무명,직무역량코드,직무역량수준(능력단위수준 이면서 세분류의 자식),직무역량명,수준(직급수준),직급명
1,1,1,1,공적개발원조사업관리,1,7,공적개발원조사업 개발전략수립,7,(가칭) 공적개발원조 사업 경영자
1,1,1,1,공적개발원조사업관리,2,6,공적개발원조사업 사업기획,6,(가칭) 공적개발원조 사업 관리자
1,1,1,1,공적개발원조사업관리,5,4,공적개발원조사업 프로젝트 집행,4,(가칭) 공적개발원조 사업 실무자
1,1,1,1,공적개발원조사업관리,3,5,공적개발원조사업 PDM수립,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,4,5,공적개발원조사업 총괄운영관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,6,5,공적개발원조사업 성과관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,7,5,공적개발원조사업 평가관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,2,프로젝트관리,1,6,프로젝트 전략기획,6,(가칭)프로젝트 관리자
1,1,1,2,프로젝트관리,2,6,프로젝트 통합관리,6,(가칭)프로젝트 관리자
1,1,1,2,프로젝트관리,5,4,프로젝트 인적자원관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,6,4,프로젝트 일정관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,7,4,프로젝트 원가관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,10,4,프로젝트 조달관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,3,5,프로젝트 이해관계자관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,4,5,프로젝트 범위관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,8,5,프로젝트 리스크관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,9,5,프로젝트 품질관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,11,5,프로젝트 의사소통관리,5,(가칭)프로젝트 팀책임자
1,1,1,3,산학협력관리,11,5,대학기술이전 성과 관리,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,16,5,대학 창업교육 운영,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,19,5,산학협력 지식재산권 운영관리,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,13,4,산학협력 연구비관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,14,4,산학협력 과제관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,17,4,입주기업 지원관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,1,6,산학협력 사업기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,10,6,대학기술이전 기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,15,6,대학 창업교육 기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,18,6,산학협력 지식재산권 관리전략,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,20,6,산학협력 학술연구진흥,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,21,6,산학협력 회계관리,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,12,7,대학기술사업화,7,(가칭) 산학 협력 총괄관리자
1,1,2,1,해외법인설립관리,4,5,해외법인 설립타당성 검토,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,9,5,해외법인설립 위험 관리,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,10,5,해외법인 설립 이해 관계자 관리,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,1,4,해외법인 설립목적 파악,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,2,4,해외법인 설립내부역량 분석,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,3,4,해외법인 설립대상국 분석,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,5,4,해외법인 설립계획 수립,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,6,4,해외법인 운영계획 수립,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,8,4,현지 해외법인설립 절차 진행,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,7,3,국내 해외법인 설립절차 진행,3,해외법인 설립 실무자
1,1,2,2,해외취업관리,1,4,해외취업 정보수집,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,4,4,해외취업 구직자 발굴,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,6,4,해외취업 구직자 교육 훈련,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,7,4,해외취업 알선,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,8,4,해외취업 정착 지원,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,9,4,해외취업자 모니터링,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,10,3,해외취업 일반관리,3,해외취업 전임 컨설턴트
1,1,2,2,해외취업관리,2,5,해외취업 사업기획,5,해외취업 책임 컨설턴트
1,1,2,2,해외취업관리,3,5,해외구인처 발굴,5,해외취업 책임 컨설턴트
1,1,2,2,해외취업관리,5,5,해외취업 구직자 컨설팅,5,해외취업 책임 컨설턴트
2,1,1,1,경영기획,5,5,사업별 투자 관리,5,과장
2,1,1,1,경영기획,7,5,경영실적 분석,5,과장
2,1,1,1,경영기획,9,5,이해관계자 관리,5,과장
2,1,1,1,경영기획,1,4,사업환경 분석,4,대리
2,1,1,1,경영기획,6,4,예산 관리,4,대리
2,1,1,1,경영기획,2,7,경영방침 수립,7,부장
2,1,1,1,경영기획,3,6,경영계획 수립,6,차장
2,1,1,1,경영기획,4,6,신규사업 기획,6,차장
2,1,1,1,경영기획,8,6,경영 리스크 관리,6,차장
2,1,1,2,경영평가,4,5,경영평가방법 설정,5,과장
2,1,1,2,경영평가,5,5,경영평가도구 개발,5,과장
2,1,1,2,경영평가,7,5,경영평가 결과보고,5,과장
2,1,1,2,경영평가,8,5,경영평가 모니터링,5,과장
2,1,1,2,경영평가,9,5,경영평가 사후관리,5,과장
2,1,1,2,경영평가,2,4,경영평가관련 정보수집,4,대리
2,1,1,2,경영평가,6,6,경영평가활동 수행,6,차장
2,1,1,2,경영평가,10,6,경영평가계획 수립,6,차장
2,1,2,1,PR,11,3,PR 환경분석,3,PR Assistant
2,1,2,1,PR,14,3,PR 환경조사,3,PR Assistant
2,1,2,1,PR,8,6,위기관리,6,PR Director
2,1,2,1,PR,5,5,언론 홍보,5,PR Master
2,1,2,1,PR,15,5,PR 전략 수립,5,PR Master
2,1,2,1,PR,3,4,온라인 PR,4,PR Pro
2,1,2,1,PR,4,4,오프라인 PR,4,PR Pro
2,1,2,1,PR,6,4,조직문화 전파,4,PR Pro
2,1,2,1,PR,7,4,사회공헌활동,4,PR Pro
2,1,2,1,PR,16,4,PR 활동 평가,4,PR Pro
2,1,2,2,광고,6,4,광고 제작,4,광고 실무자
2,1,2,2,광고,7,4,광고 집행 관리,4,광고 실무자
2,1,2,2,광고,8,4,광고 효과 평가,4,광고 실무자
2,1,2,2,광고,10,4,브랜드 관리,4,광고 실무자
2,1,2,2,광고,11,4,브랜드 평가,4,광고 실무자
2,1,2,2,광고,5,5,광고 전략 수립,5,광고 전략 Master
2,1,2,2,광고,9,5,브랜드 기획,5,광고 전략 Master
2,1,3,1,마케팅전략기획,2,5,신상품 기획,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,6,5,전략적 제휴,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,8,5,마케팅 전략 계획 수립,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,18,5,마케팅 성과 관리,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,16,4,STP 전략 수립,4,마케팅전략기획 실무 책임자
2,1,3,1,마케팅전략기획,17,4,마케팅 믹스 전략 수립,4,마케팅전략기획 실무 책임자
2,1,3,1,마케팅전략기획,9,3,마케팅 시장 환경 분석,3,마케팅전략기획 실무자
2,1,3,2,고객관리,1,5,고객관리 계획 수립,5,고객관리 관리자
2,1,3,2,고객관리,7,5,고객관리 성과 평가,5,고객관리 관리자
2,1,3,2,고객관리,11,5,고객데이터 분석,5,고객관리 관리자
2,1,3,2,고객관리,10,4,고객 관계 관리,4,고객관리 실무 책임자
2,1,3,2,고객관리,6,3,고객 필요정보 제공,3,고객관리 실무자
2,1,3,3,통계조사,1,5,통계조사계획,5,통계조사 관리자
2,1,3,3,통계조사,8,5,보고서 작성,5,통계조사 관리자
2,1,3,3,통계조사,10,5,회귀분석,5,통계조사 관리자
2,1,3,3,통계조사,17,5,인터뷰 정성조사,5,통계조사 관리자
2,1,3,3,통계조사,2,4,표본설계,4,통계조사 실무 책임자
2,1,3,3,통계조사,3,4,설문설계,4,통계조사 실무 책임자
2,1,3,3,통계조사,9,4,기술통계분석,4,통계조사 실무 책임자
2,1,3,3,통계조사,15,4,2차 자료 분석,4,통계조사 실무 책임자
2,1,3,3,통계조사,4,3,실사관리,3,통계조사 실무자
2,1,3,3,통계조사,5,3,자료처리,3,통계조사 실무자
2,1,3,3,통계조사,11,6,응용 통계분석,6,통계조사 책임자
2,1,3,3,통계조사,16,7,비즈니스 인텔리전스 지원,7,통계조사 총괄자
2,1,3,4,유통관리,1,4,상품구성기획,4,유통관리 실무관리자
2,1,3,4,유통관리,4,4,판매촉진관리,4,유통관리 실무관리자
2,1,3,4,유통관리,5,4,판매 인력관리,4,유통관리 실무관리자
2,1,3,4,유통관리,7,4,상권관리,4,유통관리 실무관리자
2,1,3,4,유통관리,13,4,유통정보관리,4,유통관리 실무관리자
2,1,3,4,유통관리,2,3,상품매입,3,유통관리 실무자
2,1,3,4,유통관리,3,3,매장관리,3,유통관리 실무자
2,1,3,4,유통관리,6,3,고객관리,3,유통관리 실무자
2,1,3,4,유통관리,8,3,유통물류관리,3,유통관리 실무자
2,1,3,4,유통관리,9,5,유통채널관리,5,유통관리 총괄관리자
2,1,3,4,유통관리,12,5,성과관리,5,유통관리 총괄관리자
2,2,1,1,총무,1,5,사업계획수립,5,과장
2,2,1,1,총무,2,5,행사지원관리,5,과장
2,2,1,1,총무,3,5,부동산관리,5,과장
2,2,1,1,총무,6,4,용역관리,4,대리
2,2,1,1,총무,9,4,복리후생지원,4,대리
2,2,1,1,총무,10,4,총무보안관리,4,대리
2,2,1,1,총무,4,2,비품관리,2,사원
2,2,1,1,총무,8,2,총무문서관리,2,사원
2,2,1,1,총무,5,3,차량운영관리,3,주임
2,2,1,1,총무,7,3,업무지원,3,주임
2,2,1,2,자산관리,1,5,자산관리 목표수립,5,과장
2,2,1,2,자산관리,2,5,자산관리 계획수립,5,과장
2,2,1,2,자산관리,3,5,자산취득,5,과장
2,2,1,2,자산관리,7,5,자산처분,5,과장
2,2,1,2,자산관리,8,4,자산위탁관리,4,대리
2,2,1,2,자산관리,5,4,업무용 동산관리,2,사원
2,2,1,2,자산관리,10,6,자산평가보고,6,차장
2,2,1,3,비상기획,5,3,동원자원관리,5,과장
2,2,1,3,비상기획,6,3,민방위관리,4,대리
2,2,1,3,비상기획,1,5,비상대비업무 사업계획수립,7,부장
2,2,1,3,비상기획,2,5,충무계획수립,7,부장
2,2,1,3,비상기획,3,5,을지연습,7,부장
2,2,1,3,비상기획,4,5,충무훈련,7,부장
2,2,1,3,비상기획,8,5,안보위기관리,7,부장
2,2,1,3,비상기획,7,4,비상기획 보안관리,6,차장
2,2,2,1,인사,2,5,직무관리,5,과장
2,2,2,1,인사,3,5,인력채용,5,과장
2,2,2,1,인사,4,5,인력이동관리,5,과장
2,2,2,1,인사,5,5,인사평가,5,과장
2,2,2,1,인사,6,5,핵심인재관리,5,과장
2,2,2,1,인사,8,5,임금관리,5,과장
2,2,2,1,인사,15,5,전직지원,5,과장
2,2,2,1,인사,7,4,교육훈련운영,4,대리
2,2,2,1,인사,10,4,복리후생관리,4,대리
2,2,2,1,인사,11,4,조직문화관리,4,대리
2,2,2,1,인사,13,4,인사 아웃소싱,4,대리
2,2,2,1,인사,9,3,급여지급,3,주임
2,2,2,1,인사,14,3,퇴직업무지원,3,주임
2,2,2,1,인사,1,6,인사기획,6,차장
2,2,2,2,노무관리,1,5,노사관계 계획,5,과장
2,2,2,2,노무관리,3,5,교섭준비,5,과장
2,2,2,2,노무관리,2,4,노사관계 교육훈련,4,대리
2,2,2,2,노무관리,9,4,노사갈등 해결,4,대리
2,2,2,2,노무관리,10,5,노사관계 평가,4,대리
2,2,2,2,노무관리,8,2,위원회 운영,2,사원
2,2,2,2,노무관리,5,3,단체협약이행,3,주임
2,2,2,2,노무관리,7,3,노사협의회 운영,3,주임
2,2,2,2,노무관리,4,6,단체교섭,6,차장
2,2,2,2,노무관리,6,6,노동쟁의 대응,6,차장
2,2,3,1,비서,1,2,경영진 지원업무,2,비서
2,2,3,1,비서,9,2,비서 사무정보관리,2,비서
2,2,3,1,비서,3,3,경영진 일정관리,3,선임비서
2,2,3,1,비서,5,3,응대업무,3,선임비서
2,2,3,1,비서,6,3,보고업무,3,선임비서
2,2,3,1,비서,7,3,경영진 문서 작성관리,3,선임비서
2,2,3,1,비서,11,3,경영진 예결산관리,3,선임비서
2,2,3,1,비서,2,4,경영 환경 동향 분석,4,수석비서
2,2,3,1,비서,4,4,출장관리,4,수석비서
